frame,track_id,direction,class,img_x,img_y,world_x_m,world_y_m,speed_kmh,lane,conf
5,7,East,car,903,162,2.527,3.84,20.3,2,0.612
5,6,North,car,529,108,6.42,6.729,0.1,3,0.582
5,5,North,car,555,130,6.524,3.805,0.0,3,0.574
5,9,North,car,482,169,2.695,2.464,0.0,1,0.543
5,10,East,car,903,139,1.391,5.69,11.5,1,0.492
5,11,South,car,1216,575,4.781,4.037,10.6,1,0.447
5,12,North,car,463,137,2.499,5.956,0.1,1,0.385
5,13,South,car,1153,647,3.19,11.512,0.4,3,0.257
6,4,West,car,138,640,8.353,10.318,13.0,1,0.883
6,1,East,car,883,212,3.987,0.122,6.6,3,0.83
6,2,North,car,517,149,4.553,3.236,0.0,2,0.786
6,8,East,car,961,174,4.51,5.689,3.4,3,0.703
6,3,North,car,498,122,4.575,6.309,0.0,2,0.665
6,7,East,car,900,162,2.48,3.676,19.8,2,0.604
6,5,North,car,555,130,6.519,3.835,0.5,3,0.58
6,6,North,car,529,108,6.43,6.75,0.3,3,0.573
6,9,North,car,482,169,2.695,2.463,0.0,1,0.541
6,10,East,car,901,140,1.376,5.571,11.6,1,0.483
6,12,North,car,463,137,2.499,5.956,0.1,1,0.389
6,14,East,car,998,160,5.085,9.592,0.0,3,0.369
6,15,North,car,447,116,2.102,9.366,0.0,1,0.349
6,13,South,car,1152,647,3.189,11.508,0.2,3,0.331
6,11,South,car,1211,573,4.525,4.202,12.2,1,0.302
7,4,West,car,140,640,8.365,10.207,12.8,1,0.867
7,1,East,car,881,213,3.985,0.046,6.8,3,0.8
7,2,North,car,517,149,4.553,3.236,0.0,2,0.791
7,8,East,car,961,174,4.507,5.646,3.5,3,0.708
7,3,North,car,498,122,4.575,6.308,0.0,2,0.67
7,5,North,car,555,130,6.521,3.84,0.5,3,0.598
7,6,North,car,529,108,6.428,6.746,0.2,3,0.579
7,7,East,car,897,164,2.492,3.45,20.1,2,0.567
7,9,North,car,482,169,2.695,2.464,0.0,1,0.546
7,12,North,car,463,137,2.499,5.956,0.1,1,0.396
7,15,North,car,447,116,2.1,9.366,0.2,1,0.356
7,14,East,car,998,160,5.104,9.535,6.0,3,0.348
7,10,East,car,899,140,1.348,5.448,11.7,1,0.341
7,11,South,car,1212,572,4.55,4.064,10.5,1,0.331
7,13,South,car,1152,647,3.19,11.509,0.1,3,0.33
8,4,West,car,144,640,8.354,10.061,13.0,1,0.853
8,2,North,car,517,149,4.553,3.236,0.0,2,0.794
8,1,East,car,880,214,3.975,-0.016,6.7,3,0.782
8,8,East,car,961,175,4.523,5.592,3.8,3,0.671
8,3,North,car,498,122,4.575,6.309,0.0,2,0.667
8,7,East,car,894,163,2.4,3.339,19.2,2,0.646
8,5,North,car,554,129,6.524,3.874,0.9,3,0.598
8,6,North,car,529,108,6.44,6.77,0.5,3,0.57
8,9,North,car,482,169,2.695,2.465,0.0,1,0.539
8,10,East,car,898,140,1.346,5.353,11.5,1,0.411
8,12,North,car,463,137,2.498,5.954,0.0,1,0.399
8,14,East,car,998,160,5.12,9.615,2.1,3,0.389
8,15,North,car,447,116,2.101,9.366,0.1,1,0.354
8,13,South,car,1152,647,3.19,11.519,0.3,3,0.277
9,4,West,car,147,639,8.348,9.967,12.6,1,0.885
9,1,East,car,878,214,3.953,-0.072,6.6,3,0.809
9,2,North,car,517,149,4.552,3.236,0.0,2,0.793
9,3,North,car,498,122,4.575,6.309,0.0,2,0.663
9,5,North,car,554,129,6.52,3.875,0.8,3,0.615
9,8,East,car,960,175,4.521,5.538,3.9,3,0.588
9,7,East,car,891,164,2.362,3.183,18.8,2,0.569
9,6,North,car,529,108,6.437,6.776,0.5,3,0.564
9,9,North,car,482,169,2.695,2.469,0.1,1,0.546
9,12,North,car,463,137,2.5,5.958,0.1,1,0.426
9,13,South,car,1153,647,3.192,11.515,0.2,3,0.399
9,11,South,car,1201,549,3.859,2.834,22.5,1,0.393
9,15,North,car,447,116,2.1,9.368,0.1,1,0.365
9,14,East,car,999,160,5.138,9.622,2.0,3,0.359
10,4,West,car,151,638,8.347,9.801,13.0,1,0.854
10,1,East,car,877,215,3.957,-0.131,6.5,2,0.827
10,2,North,car,517,149,4.553,3.236,0.0,2,0.785
10,7,East,car,888,165,2.344,2.995,18.8,2,0.755
10,3,North,car,498,122,4.575,6.31,0.0,2,0.651
10,8,East,car,960,175,4.516,5.499,3.9,3,0.61
10,5,North,car,554,130,6.52,3.863,0.6,3,0.604
10,10,East,car,895,141,1.334,5.093,11.8,1,0.564
10,6,North,car,529,108,6.439,6.775,0.4,3,0.55
10,9,North,car,482,169,2.695,2.466,0.0,1,0.526
10,12,North,car,463,137,2.5,5.958,0.1,1,0.394
10,14,East,car,997,160,5.075,9.436,3.9,3,0.393
10,11,South,car,1198,544,3.677,2.647,22.8,1,0.381
10,15,North,car,447,116,2.1,9.363,0.1,1,0.343
10,13,South,car,1153,647,3.192,11.513,0.1,3,0.328
11,4,West,car,154,638,8.35,9.686,12.9,1,0.895
11,1,East,car,876,216,3.965,-0.211,6.7,2,0.815
11,2,North,car,517,149,4.552,3.235,0.0,2,0.79
11,7,East,car,885,164,2.27,2.878,18.3,2,0.703
11,3,North,car,498,122,4.574,6.309,0.0,2,0.648
11,8,East,car,960,175,4.522,5.493,3.6,3,0.648
11,5,North,car,554,129,6.519,3.865,0.6,3,0.607
11,10,East,car,894,142,1.358,4.971,11.8,1,0.562
11,6,North,car,529,108,6.437,6.768,0.3,3,0.553
11,9,North,car,482,169,2.694,2.466,0.0,1,0.523
11,11,South,car,1195,540,3.546,2.548,22.2,1,0.509
11,12,North,car,463,137,2.498,5.956,0.1,1,0.4
11,13,South,car,1152,647,3.178,11.532,0.4,3,0.389
11,14,East,car,997,160,5.091,9.458,2.7,3,0.387
11,15,North,car,447,116,2.101,9.361,0.1,1,0.346
12,1,East,car,875,217,3.965,-0.3,6.9,2,0.849
12,2,North,car,517,149,4.552,3.235,0.0,2,0.774
12,4,West,car,157,637,8.345,9.548,13.0,1,0.736
12,7,East,car,881,166,2.243,2.667,18.6,2,0.707
12,3,North,car,498,122,4.574,6.311,0.0,2,0.63
12,8,East,car,960,175,4.517,5.531,3.0,3,0.624
12,10,East,car,892,143,1.386,4.794,12.3,1,0.584
12,5,North,car,554,130,6.519,3.863,0.5,3,0.578
12,6,North,car,529,108,6.438,6.772,0.3,3,0.528
12,9,North,car,482,169,2.694,2.467,0.0,1,0.497
12,11,South,car,1193,537,3.417,2.463,21.7,1,0.412
12,14,East,car,997,160,5.074,9.415,3.0,3,0.401
12,12,North,car,463,137,2.498,5.956,0.0,1,0.371
12,15,North,car,447,116,2.101,9.362,0.1,1,0.319
13,4,West,car,161,637,8.337,9.411,13.0,1,0.877
13,1,East,car,873,217,3.953,-0.346,6.7,2,0.847
13,7,East,car,877,167,2.232,2.429,19.0,2,0.779
13,2,North,car,517,149,4.553,3.235,0.0,2,0.773
13,10,East,car,891,144,1.397,4.675,12.3,1,0.672
13,3,North,car,498,122,4.574,6.311,0.0,2,0.63
13,5,North,car,554,130,6.52,3.864,0.5,3,0.576
13,8,East,car,960,175,4.522,5.487,3.1,3,0.575
13,6,North,car,529,108,6.44,6.781,0.4,3,0.53
13,9,North,car,482,169,2.694,2.466,0.0,1,0.504
13,14,East,car,997,160,5.085,9.461,1.9,3,0.38
13,12,North,car,463,137,2.499,5.96,0.1,1,0.377
13,15,North,car,447,116,2.101,9.362,0.1,1,0.319
13,13,South,car,1153,647,3.194,11.507,0.0,3,0.281
13,11,South,car,1189,533,3.259,2.349,21.5,1,0.258
14,1,East,car,872,218,3.954,-0.424,6.8,2,0.848
14,4,West,car,164,637,8.353,9.294,12.9,1,0.827
14,7,East,car,874,168,2.223,2.222,19.1,2,0.789
14,2,North,car,517,149,4.553,3.236,0.0,2,0.77
14,10,East,car,889,144,1.383,4.55,12.3,1,0.643
14,3,North,car,498,122,4.575,6.311,0.0,2,0.634
14,5,North,car,554,130,6.521,3.861,0.4,3,0.582
14,6,North,car,529,108,6.439,6.777,0.3,3,0.535
14,9,North,car,482,169,2.694,2.466,0.0,1,0.515
14,8,East,car,960,175,4.516,5.456,3.1,3,0.46
14,14,East,car,997,160,5.086,9.462,1.6,3,0.385
14,12,North,car,463,137,2.5,5.961,0.1,1,0.382
14,15,North,car,447,116,2.1,9.363,0.0,1,0.328
14,11,South,car,1186,530,3.108,2.379,20.6,1,0.318
14,13,South,car,1153,647,3.194,11.507,0.0,3,0.316
15,1,East,car,871,219,3.959,-0.483,6.7,2,0.863
15,7,East,car,870,170,2.213,1.974,19.5,2,0.851
15,4,West,car,168,637,8.362,9.172,12.9,1,0.811
15,2,North,car,517,149,4.552,3.235,0.0,2,0.767
15,8,East,car,959,176,4.502,5.406,3.2,3,0.636
15,3,North,car,498,122,4.575,6.31,0.0,2,0.631
15,10,East,car,888,145,1.368,4.475,12.0,1,0.601
15,5,North,car,554,130,6.52,3.861,0.4,3,0.577
15,6,North,car,529,108,6.44,6.778,0.3,3,0.529
15,9,North,car,482,169,2.695,2.467,0.0,1,0.508
15,14,East,car,996,161,5.076,9.366,2.5,3,0.417
15,12,North,car,463,137,2.501,5.961,0.1,1,0.385
15,11,South,car,1184,526,3.021,2.2,20.5,1,0.332
15,15,North,car,447,116,2.1,9.362,0.0,1,0.322
15,13,South,car,1153,647,3.195,11.506,0.0,3,0.283
16,1,East,car,870,221,4.002,-0.598,7.0,2,0.884
16,7,East,car,866,171,2.188,1.79,19.4,2,0.836
16,4,West,car,171,636,8.368,9.049,12.9,1,0.807
16,2,North,car,517,149,4.552,3.236,0.0,2,0.776
16,3,North,car,498,122,4.574,6.309,0.0,2,0.631
16,8,East,car,958,176,4.494,5.357,3.4,3,0.617
16,10,East,car,886,145,1.343,4.354,12.0,1,0.606
16,5,North,car,555,130,6.517,3.833,0.2,3,0.573
16,6,North,car,529,108,6.427,6.757,0.1,3,0.552
16,9,North,car,482,169,2.694,2.466,0.0,1,0.505
16,11,South,car,1181,523,2.87,2.206,19.9,1,0.414
16,14,East,car,996,160,5.06,9.373,2.2,3,0.408
16,12,North,car,463,137,2.5,5.959,0.1,1,0.39
16,13,South,car,1152,647,3.181,11.529,0.2,3,0.349
16,15,North,car,447,116,2.101,9.365,0.0,1,0.325
17,4,West,car,174,635,8.338,8.922,12.9,1,0.872
17,1,East,car,869,221,3.994,-0.629,6.8,2,0.868
17,7,East,car,863,171,2.147,1.638,19.2,1,0.806
17,2,North,car,517,149,4.552,3.237,0.0,2,0.775
17,3,North,car,498,122,4.574,6.308,0.0,2,0.628
17,10,East,car,884,145,1.305,4.256,11.9,1,0.614
17,8,East,car,958,176,4.495,5.313,3.4,3,0.607
17,5,North,car,555,130,6.518,3.835,0.2,3,0.572
17,6,North,car,529,108,6.428,6.76,0.2,3,0.557
17,9,North,car,482,169,2.694,2.466,0.0,1,0.513
17,12,North,car,463,137,2.502,5.962,0.1,1,0.408
17,11,South,car,1178,521,2.779,2.205,19.1,1,0.389
17,13,South,car,1152,647,3.182,11.534,0.2,3,0.385
17,14,East,car,996,161,5.062,9.328,2.4,3,0.356
17,15,North,car,447,116,2.1,9.365,0.0,1,0.329
18,4,West,car,178,634,8.341,8.798,12.8,1,0.891
18,1,East,car,868,222,4.001,-0.712,6.9,2,0.85
18,7,East,car,859,173,2.126,1.407,19.4,1,0.82
18,2,North,car,517,149,4.552,3.237,0.0,2,0.786
18,8,East,car,957,176,4.476,5.305,3.3,3,0.67
18,3,North,car,498,122,4.573,6.306,0.0,2,0.632
18,10,East,car,882,145,1.299,4.176,11.7,1,0.604
18,5,North,car,554,130,6.515,3.841,0.2,3,0.582
18,6,North,car,529,108,6.428,6.757,0.1,3,0.568
18,9,North,car,482,169,2.694,2.465,0.0,1,0.516
18,11,South,car,1177,518,2.694,2.112,18.7,1,0.507
18,13,South,car,1152,647,3.186,11.539,0.2,3,0.483
18,12,North,car,463,137,2.501,5.961,0.1,1,0.421
18,15,North,car,447,116,2.1,9.361,0.0,1,0.342
18,14,East,car,996,160,5.044,9.386,1.8,3,0.309
19,4,West,car,181,633,8.309,8.662,12.9,1,0.861
19,7,East,car,855,174,2.108,1.204,19.5,1,0.855
19,1,East,car,866,223,3.988,-0.786,6.9,2,0.839
19,2,North,car,517,149,4.552,3.236,0.0,2,0.777
19,10,East,car,881,146,1.303,4.093,11.5,1,0.72
19,8,East,car,957,176,4.492,5.272,3.3,3,0.666
19,3,North,car,498,122,4.573,6.305,0.0,2,0.628
19,5,North,car,555,130,6.514,3.8,0.1,3,0.564
19,6,North,car,529,108,6.414,6.736,0.0,3,0.56
19,11,South,car,1175,515,2.631,1.97,18.5,1,0.548
19,9,North,car,482,169,2.694,2.463,0.0,1,0.502
19,12,North,car,463,137,2.502,5.965,0.1,1,0.4
19,13,South,car,1152,647,3.181,11.537,0.2,3,0.375
19,14,East,car,996,159,5.002,9.492,1.0,3,0.328
19,16,South,car,1140,560,2.196,6.967,0.0,2,0.322
19,15,North,car,447,116,2.1,9.362,0.0,1,0.321
20,4,West,car,184,633,8.333,8.573,12.7,1,0.876
20,7,East,car,850,175,2.072,0.998,19.6,1,0.842
20,1,East,car,865,222,3.955,-0.769,6.5,2,0.806
20,8,East,car,957,177,4.499,5.217,3.4,3,0.79
20,2,North,car,517,149,4.552,3.236,0.0,2,0.782
20,10,East,car,880,146,1.313,3.955,11.6,1,0.749
20,3,North,car,498,122,4.572,6.302,0.0,2,0.616
20,11,South,car,1171,511,2.466,1.989,18.1,1,0.581
20,6,North,car,529,108,6.413,6.732,0.0,3,0.566
20,5,North,car,555,130,6.512,3.805,0.1,3,0.563
20,9,North,car,482,169,2.693,2.464,0.0,1,0.515
20,12,North,car,463,137,2.502,5.962,0.1,1,0.421
20,13,South,car,1152,647,3.181,11.538,0.2,3,0.4
20,14,East,car,996,160,5.02,9.385,1.6,3,0.339
20,15,North,car,447,116,2.101,9.36,0.0,1,0.334
20,16,South,car,1140,560,2.186,6.956,1.5,2,0.33
21,4,West,car,187,632,8.323,8.452,12.7,1,0.872
21,7,East,car,846,176,2.036,0.813,19.5,1,0.865
21,1,East,car,865,223,3.967,-0.828,6.4,2,0.79
21,2,North,car,517,149,4.552,3.237,0.0,2,0.776
21,8,East,car,956,177,4.476,5.139,3.6,3,0.766
21,10,East,car,878,147,1.297,3.887,11.4,1,0.752
21,11,South,car,1165,507,2.26,2.132,17.6,1,0.633
21,3,North,car,498,122,4.573,6.304,0.0,2,0.625
21,5,North,car,555,130,6.512,3.81,0.1,3,0.562
21,6,North,car,529,108,6.412,6.729,0.1,3,0.561
21,9,North,car,482,169,2.694,2.465,0.0,1,0.512
21,13,South,car,1152,647,3.183,11.543,0.2,3,0.442
21,12,North,car,463,137,2.503,5.963,0.1,1,0.416
21,16,South,car,1141,560,2.199,6.904,3.2,2,0.405
21,15,North,car,447,116,2.1,9.368,0.0,1,0.333
22,4,West,car,190,632,8.321,8.341,12.6,1,0.89
22,7,East,car,841,177,2.009,0.595,19.7,1,0.872
22,1,East,car,863,225,4.0,-0.944,6.7,2,0.853
22,8,East,car,956,177,4.477,5.128,3.5,3,0.817
22,2,North,car,517,149,4.552,3.237,0.0,2,0.78
22,10,East,car,877,147,1.277,3.803,11.3,1,0.708
22,3,North,car,498,122,4.573,6.304,0.0,2,0.616
22,5,North,car,555,130,6.511,3.812,0.1,3,0.56
22,6,North,car,529,108,6.409,6.722,0.1,3,0.559
22,9,North,car,482,169,2.694,2.464,0.0,1,0.506
22,16,South,car,1141,560,2.202,6.946,0.8,2,0.447
22,13,South,car,1152,647,3.181,11.539,0.2,3,0.442
22,12,North,car,463,137,2.503,5.961,0.0,1,0.414
22,15,North,car,447,116,2.101,9.367,0.0,1,0.336
22,11,South,car,1164,504,2.209,1.957,17.5,1,0.252
23,4,West,car,194,632,8.324,8.21,12.6,1,0.88
23,1,East,car,862,227,4.028,-1.035,6.8,2,0.844
23,7,East,car,836,178,1.944,0.429,19.6,1,0.841
23,8,East,car,956,177,4.452,5.137,3.3,3,0.784
23,2,North,car,517,149,4.553,3.238,0.0,2,0.779
23,10,East,car,875,147,1.239,3.711,11.2,1,0.744
23,3,North,car,498,122,4.574,6.305,0.0,2,0.626
23,6,North,car,529,108,6.41,6.724,0.1,3,0.566
23,5,North,car,555,130,6.515,3.808,0.0,3,0.561
23,9,North,car,482,169,2.694,2.464,0.0,1,0.516
23,13,South,car,1153,647,3.194,11.512,0.0,3,0.42
23,12,North,car,463,137,2.504,5.963,0.1,1,0.416
23,16,South,car,1140,560,2.198,6.966,0.1,2,0.384
23,15,North,car,447,116,2.1,9.367,0.0,1,0.341
23,11,South,car,1168,508,2.362,1.938,16.3,1,0.284
24,1,East,car,861,227,4.01,-1.065,6.6,2,0.875
24,4,West,car,197,631,8.311,8.09,12.6,1,0.87
24,7,East,car,831,179,1.922,0.223,19.6,1,0.834
24,2,North,car,517,149,4.553,3.239,0.0,2,0.777
24,10,East,car,872,148,1.239,3.545,11.4,1,0.718
24,8,East,car,955,177,4.449,5.112,3.3,3,0.711
24,11,South,car,1161,501,2.109,1.884,16.6,1,0.633
24,3,North,car,498,122,4.574,6.306,0.0,2,0.625
24,6,North,car,529,108,6.413,6.731,0.0,3,0.567
24,5,North,car,555,130,6.513,3.807,0.0,3,0.557
24,16,South,car,1141,560,2.21,6.951,0.4,2,0.519
24,9,North,car,482,169,2.694,2.464,0.0,1,0.51
24,13,South,car,1152,647,3.182,11.534,0.1,3,0.507
24,12,North,car,463,137,2.504,5.964,0.1,1,0.423
24,15,North,car,447,116,2.102,9.365,0.0,1,0.343
25,4,West,car,200,630,8.299,7.973,12.6,1,0.898
25,7,East,car,826,181,1.904,0.006,19.7,1,0.877
25,1,East,car,860,229,4.038,-1.159,6.8,2,0.836
25,2,North,car,517,149,4.553,3.238,0.0,2,0.78
25,10,East,car,871,148,1.204,3.474,11.3,1,0.687
25,8,East,car,955,177,4.448,5.047,3.4,3,0.667
25,3,North,car,498,122,4.574,6.305,0.0,2,0.629
25,6,North,car,529,108,6.412,6.729,0.0,3,0.574
25,5,North,car,555,130,6.514,3.806,0.0,3,0.566
25,9,North,car,482,169,2.693,2.465,0.0,1,0.516
25,13,South,car,1152,647,3.181,11.535,0.1,3,0.47
25,11,South,car,1167,506,2.311,1.872,15.3,1,0.445
25,12,North,car,463,137,2.504,5.966,0.1,1,0.433
25,16,South,car,1141,560,2.216,6.935,0.6,2,0.41
25,15,North,car,447,116,2.101,9.364,0.0,1,0.35
26,4,West,car,203,629,8.291,7.872,12.5,1,0.908
26,1,East,car,858,231,4.05,-1.286,7.0,2,0.865
26,7,East,car,821,182,1.873,-0.204,19.8,1,0.856
26,2,North,car,517,149,4.553,3.238,0.0,2,0.785
26,10,East,car,869,148,1.175,3.409,11.1,1,0.739
26,3,North,car,498,122,4.574,6.304,0.0,2,0.635
26,8,East,car,954,177,4.431,5.031,3.3,3,0.617
26,6,North,car,529,108,6.413,6.731,0.0,3,0.585
26,5,North,car,555,130,6.515,3.803,0.0,3,0.577
26,13,South,car,1152,647,3.183,11.528,0.1,3,0.562
26,9,North,car,482,169,2.693,2.464,0.0,1,0.524
26,12,North,car,463,137,2.504,5.966,0.1,1,0.443
26,16,South,car,1150,560,2.408,6.584,6.3,2,0.429
26,15,North,car,447,116,2.102,9.365,0.0,1,0.357
26,11,South,car,1163,501,2.143,1.779,15.4,1,0.317
27,4,West,car,206,628,8.282,7.767,12.4,1,0.878
27,7,East,car,815,184,1.854,-0.416,19.8,1,0.862
27,1,East,car,857,231,4.055,-1.312,6.8,2,0.841
27,2,North,car,517,149,4.551,3.237,0.0,2,0.771
27,8,East,car,953,177,4.416,4.98,3.4,3,0.681
27,10,East,car,867,149,1.196,3.259,11.2,1,0.67
27,3,North,car,498,122,4.573,6.307,0.0,2,0.618
27,5,North,car,554,130,6.513,3.852,0.2,3,0.553
27,11,South,car,1153,483,1.739,1.144,17.6,1,0.552
27,6,North,car,529,108,6.429,6.77,0.1,3,0.544
27,13,South,car,1152,647,3.181,11.527,0.1,3,0.532
27,9,North,car,482,169,2.693,2.467,0.0,1,0.506
27,12,North,car,463,137,2.506,5.968,0.1,1,0.439
27,16,South,car,1141,560,2.212,6.919,0.6,2,0.422
27,15,North,car,447,116,2.102,9.363,0.0,1,0.341
28,4,West,car,209,628,8.293,7.66,12.4,1,0.889
28,7,East,car,810,186,1.826,-0.636,19.9,1,0.874
28,1,East,car,856,232,4.053,-1.383,6.8,2,0.831
28,8,East,car,953,178,4.433,4.896,3.6,3,0.773
28,2,North,car,517,149,4.552,3.237,0.0,2,0.762
28,10,East,car,866,148,1.163,3.231,10.9,1,0.657
28,3,North,car,498,122,4.574,6.308,0.0,2,0.603
28,5,North,car,554,129,6.517,3.878,0.3,3,0.532
28,6,North,car,529,108,6.433,6.784,0.2,3,0.522
28,13,South,car,1152,647,3.181,11.531,0.1,3,0.517
28,9,North,car,482,169,2.692,2.466,0.0,1,0.501
28,11,South,car,1159,492,1.944,1.41,15.7,1,0.466
28,16,South,car,1141,560,2.213,6.911,0.7,2,0.449
28,12,North,car,463,137,2.505,5.967,0.1,1,0.423
28,15,North,car,447,116,2.101,9.364,0.0,1,0.336
28,14,East,car,991,161,4.891,8.987,2.9,3,0.275
29,1,East,car,855,233,4.066,-1.422,6.7,2,0.877
29,7,East,car,804,187,1.787,-0.821,19.9,1,0.868
29,4,West,car,213,628,8.292,7.548,12.3,1,0.846
29,8,East,car,953,178,4.44,4.855,3.6,3,0.779
29,2,North,car,517,149,4.552,3.236,0.0,2,0.768
29,11,South,car,1156,488,1.846,1.306,15.7,1,0.705
29,10,East,car,864,148,1.128,3.128,10.9,1,0.633
29,3,North,car,498,122,4.574,6.308,0.0,2,0.615
29,5,North,car,554,129,6.518,3.878,0.3,3,0.55
29,6,North,car,529,108,6.433,6.784,0.2,3,0.53
29,9,North,car,482,169,2.693,2.465,0.0,1,0.505
29,16,South,car,1141,560,2.208,6.906,0.6,2,0.47
29,13,South,car,1152,647,3.179,11.527,0.1,3,0.456
29,12,North,car,463,137,2.505,5.965,0.1,1,0.43
29,15,North,car,447,116,2.101,9.366,0.0,1,0.339
30,1,East,car,854,235,4.088,-1.522,6.9,2,0.889
30,4,West,car,217,627,8.294,7.399,12.4,1,0.875
30,7,East,car,798,188,1.741,-1.021,19.5,1,0.854
30,8,East,car,953,178,4.445,4.844,3.6,3,0.783
30,2,North,car,517,149,4.551,3.235,0.0,2,0.772
30,10,East,car,863,149,1.134,3.048,10.8,1,0.709
30,3,North,car,498,122,4.572,6.307,0.0,2,0.599
30,11,South,car,1145,473,1.447,0.969,16.9,1,0.551
30,5,North,car,554,129,6.516,3.884,0.3,3,0.541
30,6,North,car,529,108,6.432,6.783,0.2,3,0.525
30,9,North,car,482,169,2.693,2.467,0.0,1,0.497
30,13,South,car,1152,647,3.18,11.531,0.1,3,0.461
30,16,South,car,1147,560,2.344,6.654,3.2,2,0.436
30,12,North,car,463,137,2.504,5.965,0.0,1,0.428
30,15,North,car,447,116,2.102,9.364,0.0,1,0.334
30,14,East,car,991,161,4.914,8.878,3.1,3,0.321
31,4,West,car,221,626,8.283,7.271,12.4,1,0.898
31,7,East,car,792,189,1.714,-1.211,19.8,1,0.895
31,1,East,car,853,236,4.107,-1.577,6.8,2,0.851
31,2,North,car,517,149,4.551,3.237,0.0,2,0.777
31,8,East,car,952,178,4.412,4.849,3.3,3,0.758
31,11,South,car,1141,470,1.346,0.997,16.2,1,0.739
31,10,East,car,861,149,1.12,2.961,10.7,1,0.664
31,3,North,car,498,122,4.572,6.309,0.0,2,0.601
31,5,North,car,554,129,6.514,3.882,0.3,3,0.547
